Year,Fires,Acres,Sq Miles
1983,18229,1323666,2068.228125
1984,20493,1148409,1794.3890625000001
1985,82591,2896147,4525.2296875
1986,85907,2719162,4248.690625
1987,71300,2447296,3823.9
1988,72750,5009290,7827.015625
1989,48949,1827310,2855.171875
1990,66481,4621621,7221.282812500001
1991,75754,2953578,4614.965625
1992,87394,2069929,3234.2640625000004
1993,58810,1797574,2808.7093750000004
1994,79107,4073579,6364.9671875
1995,82234,1840546,2875.853125
1996,96363,6065998,9478.121875
1997,66196,2856959,4463.9984375
1998,81043,1329704,2077.6625
1999,92487,5626093,8790.7703125
2000,92250,7393493,11552.3328125
2001,84079,3570911,5579.548437500001
2002,73457,7184712,11226.112500000001
2003,63629,3960842,6188.815625
2004,65461,8097880,12652.9375
2005,66753,8689389,13577.1703125
2006,96385,9873745,15427.7265625
2007,85705,9328045,14575.0703125
2008,78979,5292468,8269.48125
2009,78792,5921786,9252.790625
2010,71971,3422724,5348.00625
2011,74126,8711367,13611.510937500001
2012,67774,9326238,14572.246875
2013,47579,4319546,6749.290625000001
2014,63312,3595613,5618.145312500001
2015,68151,10125149,15820.5453125
2016,67743,5509995,8609.3671875
2017,71499,10026086,15665.759375000001
2018,58083,8767492,13699.206250000001
2019,50477,4664364,7288.06875
2020,58950,10122336,15816.150000000001
